priority,score,table,column,data_type,nullable,null_pct,row_count,in_model,in_serializer,in_views
MEDIUM,30,dynamic_attribute,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,dynamic_attribute,section_key,character varying,NO,100.0,0,True,True,True
MEDIUM,30,dynamic_attribute,label,character varying,NO,100.0,0,True,True,True
MEDIUM,30,dynamic_attribute,value,text,YES,100.0,0,True,True,True
MEDIUM,30,dynamic_attribute,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,dynamic_attribute,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,history_party_attrib,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,history_party_attrib,done_by,integer,NO,100.0,0,True,True,True
MEDIUM,30,history_party_attrib,pid,integer,NO,100.0,0,True,True,True
MEDIUM,30,history_party_attrib,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,la_ba_unit_spatial_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ba_unit_spatial_unit,ba_unit_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ba_unit_spatial_unit,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_level,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_level,name,character varying,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_apt_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_apt_unit,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_apt_unit,ref_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ils_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ils_unit,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ils_unit,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_pointline_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_pointline_unit,access_road,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_pointline_unit,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_pointline_unit,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_unit,access_road,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_unit,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_mylayer_unit,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_pointline_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_pointline_unit,access_road,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_pointline_unit,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_pointline_unit,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_unit,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_unit,access_road,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_unit,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_ols_unit,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,water,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,water_drink,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,elec,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,tele,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,internet,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,sani_sewer,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,garbage_dispose,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_au,ref_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,water,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,water_drink,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,elec,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,tele,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,internet,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,sani_sewer,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,garbage_dispose,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ils,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,water,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,water_drink,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,elec,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,tele,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,internet,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,sani_sewer,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,sani_gully,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,drainage,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,garbage_dispose,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_ls_utinet_ols,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_mortgage,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_mortgage,rrr_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,la_mortgage,amount,numeric,YES,100.0,0,True,True,True
MEDIUM,30,la_mortgage,ranking,integer,YES,100.0,0,True,True,True
MEDIUM,30,la_mortgage,mortgagee,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_spatial_unit_sketch_ref,description,text,YES,100.0,0,True,True,True
MEDIUM,30,la_spatial_unit_sketch_ref,file_path,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_spatial_unit_sketch_ref,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,la_spatial_unit_sketch_ref,remark,character varying,YES,100.0,0,True,True,True
MEDIUM,30,la_spatial_unit_sketch_ref,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,la_spatial_unit_sketch_ref,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,messages,file_path,character varying,YES,100.0,0,True,True,True
MEDIUM,30,reminders,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,reminders,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,residence_info,su_id,integer,YES,100.0,0,True,True,True
MEDIUM,30,residence_info,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,residence_info,pid,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,uuid,uuid,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,user_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,layer_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,name,character varying,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,area,numeric,YES,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,dimension_2d_3d,character varying,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,date_modified,timestamp with time zone,YES,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,parent_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,geom,USER-DEFINED,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_child_bndry,reference_coordinate,USER-DEFINED,YES,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,uuid,uuid,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,user_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,layer_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,name,character varying,NO,100.0,0,True,True,True
